Trade Date,Nyse Tape A,Nyse Arca Tape A,Nyse American Tape A,Nyse National Tape A,Nyse Texas Tape A,Consolidated Tape A,Nyse Tape B,Nyse Arca Tape B,Nyse American Tape B,Nyse National Tape B,Nyse Texas Tape B,Consolidated Tape B,Nyse Tape C,Nyse Arca Tape C,Nyse American Tape C,Nyse National Tape C,Nyse Texas Tape C,Consolidated Tape C
20260430,"1,496.5","284.2","7.0","20.5","23.8","5,822.8","76.9","543.5","31.7","13.5","11.6","3,336.5","146.9","780.2","7.5","20.6","31.1","8,362.9"
20260429,"1,159.3","271.3","5.9","18.4","21.5","5,221.0","83.2","499.4","25.2","13.1","16.0","3,164.5","148.8","972.9","6.8","24.3","38.3","8,456.6"
20260428,"1,128.6","256.8","6.5","17.4","17.1","4,999.2","72.1","523.9","24.3","11.1","18.5","3,182.7","145.4","887.3","7.1","18.5","34.7","7,717.5"
20260427,"1,140.2","261.3","6.6","18.2","17.9","4,866.9","61.9","417.5","26.2","10.9","13.8","2,735.9","146.1","973.9","7.4","19.7","22.5","8,337.0"
20260424,"1,059.7","254.6","5.6","16.7","23.2","4,724.8","71.9","485.3","23.6","13.0","13.7","3,054.5","145.7","1,706.3","7.5","20.6","36.2","10,587.4"
20260423,"1,150.9","312.1","5.8","20.2","15.5","5,384.8","89.1","651.4","31.2","20.8","14.7","4,254.6","135.2","836.7","6.8","23.7","25.3","8,180.4"
20260422,"1,149.9","271.7","7.1","16.6","17.3","5,032.0","71.4","456.4","27.9","13.1","10.8","3,102.2","133.9","939.4","7.3","21.8","20.9","8,384.7"
20260421,"1,142.3","291.6","6.0","17.2","17.1","5,249.7","98.7","576.4","28.0","17.3","10.4","3,748.9","153.9","1,115.5","6.9","22.8","26.5","9,580.0"
20260420,"1,087.9","251.4","5.7","16.9","25.2","4,742.9","78.1","567.9","28.3","12.5","13.2","3,490.0","162.1","978.0","7.5","22.0","31.0","8,656.2"
20260417,"1,500.1","328.6","7.7","18.9","41.4","6,211.4","112.4","668.6","31.5","18.5","32.7","4,074.0","160.6","1,157.2","9.7","23.9","61.4","10,353.0"
20260416,"1,186.0","284.8","6.8","18.0","22.8","5,247.4","83.7","455.1","25.3","13.8","18.4","3,059.7","150.1","1,365.2","8.4","21.8","31.1","10,229.5"
20260415,"1,189.1","284.8","7.1","18.5","18.0","5,362.5","78.5","480.1","26.3","11.9","16.7","3,097.2","174.7","1,310.4","9.2","24.7","24.1","10,528.1"
20260414,"1,131.8","271.3","4.7","17.5","20.7","5,145.7","83.6","661.2","29.6","13.4","21.4","3,826.5","171.4","1,099.9","6.5","22.9","32.8","9,495.7"
20260413,"1,182.3","245.3","4.4","16.1","11.1","4,849.7","84.3","533.1","28.9","13.1","12.1","3,204.4","146.2","887.8","6.1","20.7","18.7","8,224.2"
20260410,"1,066.4","234.2","4.1","16.3","13.6","4,445.7","76.2","423.6","22.6","10.8","14.1","2,811.0","144.3","1,052.1","5.3","18.9","33.9","8,969.2"
20260409,"1,175.5","257.3","4.4","17.4","18.1","4,994.0","101.5","553.9","27.3","13.4","20.4","3,532.5","172.1","1,028.4","5.6","21.6","24.0","8,986.4"
20260408,"1,498.4","326.0","5.8","20.5","19.7","6,003.6","128.0","787.5","39.0","14.9","16.8","4,387.6","179.7","1,277.7","6.7","25.8","26.5","10,849.1"
20260407,"1,112.4","249.2","6.1","17.6","12.9","4,686.0","119.9","631.2","33.1","17.0","16.6","3,659.4","168.2","1,712.6","7.8","22.5","21.3","11,453.1"
20260406,"1,037.6","192.9","4.5","13.3","11.4","3,979.1","92.5","474.8","28.9","11.6","11.5","3,020.0","148.8","1,081.2","5.6","17.8","18.7","8,544.8"
20260402,"1,114.4","256.1","4.9","16.5","19.2","4,820.2","127.8","683.3","29.3","16.8","12.9","3,961.0","158.0","941.7","6.1","20.6","24.8","8,446.0"
20260401,"1,304.1","321.0","5.6","21.8","18.3","5,727.6","156.1","761.7","30.9","21.2","26.7","4,479.7","186.5","1,023.0","6.5","24.0","23.9","9,074.3"
20260331,"1,744.0","352.6","6.9","25.1","20.7","6,526.3","206.0","980.6","49.4","23.0","14.0","5,381.2","215.9","1,308.0","8.9","28.1","26.5","10,969.7"
20260330,"1,379.2","295.9","7.0","20.9","14.1","5,549.0","145.9","681.5","35.7","16.8","14.6","4,087.6","207.9","1,141.4","8.0","23.4","33.3","9,526.2"
20260327,"1,267.5","292.1","5.6","20.0","14.7","5,380.4","129.2","716.5","32.6","19.3","14.6","4,114.5","163.9","1,151.6","6.5","23.5","27.5","8,993.8"
20260326,"1,176.9","270.1","5.5","18.2","19.7","4,934.4","126.8","691.4","34.2","18.8","15.4","3,873.6","150.3","793.2","6.7","21.6","33.7","7,988.0"
20260325,"1,186.5","278.2","5.4","18.8","19.0","5,022.4","135.7","730.5","31.9","14.8","19.9","4,141.2","168.8","863.2","7.0","22.5","21.2","8,303.0"
20260324,"1,412.6","277.5","6.1","18.4","24.7","5,436.3","145.9","709.6","43.5","18.6","17.6","4,248.4","181.1","915.2","7.7","22.7","23.9","8,836.1"
20260323,"1,557.2","333.8","6.4","23.2","20.5","6,098.5","191.6","1,131.1","54.6","26.3","23.3","6,052.9","209.8","988.6","8.4","25.5","27.8","9,109.7"
